path,url,depth,direct_files,direct_bytes,direct_bytes_human,recursive_files,recursive_bytes,recursive_bytes_human,recursive_dirs,subdir_count,external_refs
MAME/Software List CHDs (merged)/psx/specopsp,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/specopsp/,4,1,164416716,156.80 MiB,1,164416716,156.80 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spectbld,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spectbld/,4,1,187275673,178.60 MiB,1,187275673,178.60 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/speedkng,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/speedkng/,4,1,302828748,288.80 MiB,1,302828748,288.80 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/speedpwg,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/speedpwg/,4,1,215062937,205.10 MiB,1,215062937,205.10 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spf2t,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spf2t/,4,1,368050176,351.00 MiB,1,368050176,351.00 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sphere360,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sphere360/,4,1,20132659,19.20 MiB,1,20132659,19.20 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spicewld,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spicewld/,4,1,293076992,279.50 MiB,1,293076992,279.50 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spider,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spider/,4,1,285212672,272.00 MiB,1,285212672,272.00 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spiderm2,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spiderm2/,4,1,334286028,318.80 MiB,1,334286028,318.80 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spidermn,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spidermn/,4,3,1159725054,1.08 GiB,3,1159725054,1.08 GiB,1,0,0
MAME/Software List CHDs (merged)/psx/spinjam,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spinjam/,4,1,117440512,112.00 MiB,1,117440512,112.00 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spiritm,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spiritm/,4,1,4718592,4.50 MiB,1,4718592,4.50 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spongbsp,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spongbsp/,4,1,40789606,38.90 MiB,1,40789606,38.90 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sportriv,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sportriv/,4,1,6396313,6.10 MiB,1,6396313,6.10 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spotgo,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spotgo/,4,1,396047155,377.70 MiB,1,396047155,377.70 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spyro,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spyro/,4,4,873044376,832.60 MiB,4,873044376,832.60 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spyro2,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spyro2/,4,2,394684005,376.40 MiB,2,394684005,376.40 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spyro3,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spyro3/,4,3,1235222527,1.15 GiB,3,1235222527,1.15 GiB,1,0,0
MAME/Software List CHDs (merged)/psx/squa2k_3,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/squa2k_3/,4,1,290874982,277.40 MiB,1,290874982,277.40 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/squa98_1,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/squa98_1/,4,1,259732275,247.70 MiB,1,259732275,247.70 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/squa98_2,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/squa98_2/,4,1,82522931,78.70 MiB,1,82522931,78.70 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/squarecd,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/squarecd/,4,1,168296448,160.50 MiB,1,168296448,160.50 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/squaremc,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/squaremc/,4,1,3460300,3.30 MiB,1,3460300,3.30 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/squarep5,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/squarep5/,4,1,194510848,185.50 MiB,1,194510848,185.50 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sracer,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sracer/,4,1,300312166,286.40 MiB,1,300312166,286.40 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sracquet,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sracquet/,4,1,202899456,193.50 MiB,1,202899456,193.50 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/srobota,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/srobota/,4,1,398354022,379.90 MiB,1,398354022,379.90 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/srobotagp,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/srobotagp/,4,1,419325542,399.90 MiB,1,419325542,399.90 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/srobotags,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/srobotags/,4,1,419325542,399.90 MiB,1,419325542,399.90 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/srobotcb,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/srobotcb/,4,2,760532172,725.30 MiB,2,760532172,725.30 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/srobotf,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/srobotf/,4,1,327260569,312.10 MiB,1,327260569,312.10 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/srobotfk,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/srobotfk/,4,1,340262912,324.50 MiB,1,340262912,324.50 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss037pzl,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss037pzl/,4,1,27682406,26.40 MiB,1,27682406,26.40 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss051jgs,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss051jgs/,4,1,130128281,124.10 MiB,1,130128281,124.10 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss063gn2,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss063gn2/,4,1,49492787,47.20 MiB,1,49492787,47.20 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss067soc,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss067soc/,4,1,148268646,141.40 MiB,1,148268646,141.40 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss071rn2,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss071rn2/,4,1,262982860,250.80 MiB,1,262982860,250.80 MiB,1,0,0
